Assets,Geometric Mean,Arithmetic Mean,Volatility,U.S. Inflation,U.S. Cash,U.S. Intermediate Treasuries,U.S. Long Treasuries,TIPS,U.S. Aggregate Bonds,U.S. Securitized,U.S. Short Duration Government/Credit,U.S. Long Duration Government/Credit,U.S. Inv Grade Corporate Bonds,U.S. Long Corporate Bonds,U.S. High Yield Bonds,U.S. Leveraged Loans,World Government Bonds hedged,World Government Bonds,World ex-U.S. Government Bonds hedged,World ex-U.S. Government Bonds,Emerging Markets Sovereign Debt,Emerging Markets Local Currency Debt,Emerging Markets Corporate Bonds,U.S. Muni 1-15 Yr Blend,U.S. Muni High Yield,U.S. Large Cap,U.S. Mid Cap,U.S. Small Cap,Euro Area Large Cap,Japanese Equity,Hong Kong Equity,UK Large Cap,EAFE Equity,Chinese Domestic Equity,Emerging Markets Equity,AC Asia ex-Japan Equity,AC World Equity,U.S. Equity Value Factor,U.S. Equity Momentum Factor,U.S. Equity Quality Factor,U.S. Equity Minimum Volatility Factor,U.S. Equity Dividend Yield Factor,Global Convertible Bonds hedged,U.S. Core Real Estate,U.S. Value-Added Real Estate,European Core Real Estate,Asia Pacific Core Real Estate,U.S. REITs,Commercial Mortgage Loans,Global Core Infrastructure,Global Core Transport,Global Timberland,Commodities,Gold,Private Equity,Venture Capital,Diversified Hedge Funds,Event Driven Hedge Funds,Long Bias Hedge Funds,Relative Value Hedge Funds,Macro Hedge Funds,Direct Lending
U.S. Inflation,0.025,0.025112470752755467,0.015186451101303294,1.0,-0.016074330761665846,-0.257779454099716,-0.20733693113236834,-0.0035311134871375007,-0.23563136734095647,-0.21930193355077285,-0.28632755563549206,-0.20390007140476987,-0.16857448251937224,-0.17232665799207314,0.012072236481645895,0.17986046070457684,-0.27955879536260386,-0.1510600165495086,-0.27233773821166535,-0.13283579909200036,-0.11946027365562714,-0.03247791975585653,-0.05288875843467218,-0.15550255227689164,0.19640853088260854,0.01278985829800656,0.006076554121995202,-0.01679139166794389,-0.015670483775963587,-0.06753795901819934,-0.03336669326110972,0.050882169380022636,-0.01043629507774729,-0.05148800059341731,0.00147630818304463,-0.048901935812701525,0.004413396905664657,-0.01620371423943105,0.018762971382573983,-0.00483680753078988,-0.005391291800146421,-0.0007915533981580393,-0.08111283967107634,0.3123104262781705,0.3123104245691058,0.3114889019588709,0.2181361172972754,-0.0006793832590218439,0.10927713211676894,0.20210096556580734,0.16440651204951237,-0.01811104437098075,0.26515490072222087,-0.009784765710975647,0.09432421597587892,-0.06715997998853028,0.08909988182333968,0.08611162178649535,0.01555961510189025,0.13557525969095993,-0.02878276194194233,0.2424637533913887
U.S. Cash,0.029000000000000005,0.029017145187323568,0.005940224349228482,-0.016074330761665846,0.9999999999999998,0.17410676681445972,0.05828625105743315,0.04429425068827095,0.09671889179823064,0.119509938633165,0.2614714144736679,0.03652883619777694,0.01922085795006195,0.010732814936130762,-0.0731325502798198,-0.08666870086673115,0.10206712718042396,0.10232435416518074,0.08755472090572998,0.09335156494723403,0.02551835515852995,0.11591024992505511,-0.028680541808983023,0.08692712916341148,-0.04351879268362732,-0.03617962303333933,-0.054936100512821835,-0.06866201112823551,0.04675014343035244,-0.028479543801316193,-0.012198136684922326,-0.019565290860572734,0.007837335122493972,0.10261326706202545,0.020854162118505038,0.013379034761237054,-0.013710339640450592,-0.06511301608799633,-0.033189099267199956,-0.024772198372193525,-0.07862200612008553,-0.08176481774753575,-0.03633534594622417,-0.16798231518238577,-0.1679823086655253,-0.16292832178019614,-0.04651944428241823,-0.06252302602777758,0.0047055225611536515,0.01427794520510741,0.12554419397384228,0.18391960715680472,-0.0367769793335062,0.09436013182769869,0.003497116212246234,-0.054119283896539264,0.008957054285855207,-0.05020315699125611,-0.03906703273759455,-0.062471630347980985,0.03583579070051232,-0.10764437801078106
U.S. Intermediate Treasuries,0.039,0.03951292736098644,0.03266770650220193,-0.257779454099716,0.17410676681445972,1.0,0.8294334638172625,0.6136498214625833,0.8312293320610231,0.7893578315798053,0.8330597845320012,0.7219735684948073,0.4900616580813104,0.48375711246360825,-0.06204917534361862,-0.39028416191401394,0.8536985025035811,0.7369135830280763,0.713294458853211,0.6308599818539122,0.2730636639293696,0.18803833186343422,0.1610400706183019,0.5154825828914359,0.1135638208135165,-0.11314391548414095,-0.15669910754052477,-0.1949078256201151,-0.06269861210682257,-0.05254715192429143,-0.06391787940014168,-0.16684605865845442,-0.08128210279096888,-0.050060887415905704,-0.07264485740817525,-0.03843866146144006,-0.10359222705748782,-0.15635141877885275,-0.11983535901814704,-0.09048624272052319,-0.07252832338805665,-0.12468637679355123,-0.12127243871077203,-0.25168042769122007,-0.25168042858825745,-0.3497432771595869,-0.26998335056627476,0.05400468378638841,0.17897736324874475,-0.25371589734123484,0.014847606575269984,-0.12219702713644601,-0.16687148785211167,0.3688624027893985,-0.3619846493480277,-0.26679906971361356,-0.3301693645551499,-0.2940599775199422,-0.20784236306613016,-0.29445564894236903,-0.09439948908856655,-0.4340218665791264
U.S. Long Treasuries,0.052000000000000005,0.059175387397719215,0.1239187358352434,-0.20733693113236834,0.05828625105743315,0.8294334638172625,0.9999999999999999,0.5805612802486498,0.8321591582524653,0.7259734282995123,0.5785247010059255,0.8942879059880061,0.5640674118259209,0.6433419755457317,-0.055292050789472434,-0.3051661813036263,0.8584257243337471,0.6329816557712112,0.7258634773661339,0.517405483139717,0.29602297261007726,0.13703021296946533,0.1902648975276724,0.48806385224353543,0.20479569980955586,-0.09553705930754165,-0.12396551483843327,-0.185088002677642,-0.09832776259213814,-0.03438794223476985,-0.05620552538538143,-0.18173816840747253,-0.09435624357124976,-0.02995349662384034,-0.06424722742931481,-0.01741277444067611,-0.09724147327014665,-0.16177309202999235,-0.07179910442752901,-0.07677905787636909,-0.03658298661865267,-0.11176477628470143,-0.07313134576572218,-0.16041408173568042,-0.16041407644517214,-0.31116541775000234,-0.2601932080300645,0.13480668799613224,0.17052579966453107,-0.27993093015976983,0.02948074222136595,-0.2126525140349335,-0.23060687903606453,0.31169290023158414,-0.4151763658418839,-0.281109806187432,-0.24928031538275436,-0.28806839675839996,-0.20898238617484846,-0.2544134050306556,-0.07650800945559733,-0.4328639996246032
TIPS,0.046,0.047576933200937255,0.057544703052181664,-0.0035311134871375007,0.04429425068827095,0.6136498214625833,0.5805612802486498,1.0,0.7488318565085478,0.687049593817702,0.6146207319404231,0.6785483668705493,0.69988233743471,0.6533321303973232,0.4591335247122509,0.17867132129277236,0.600817197911676,0.6696506138473177,0.5526070750867864,0.6396747268373336,0.607383582473668,0.4423539144634773,0.5347577759251696,0.5672687304456601,0.45862899678200064,0.28718588640994935,0.2796577130962915,0.18330545485513855,0.27348006112947565,0.2542132075443841,0.22758236743024848,0.2328101118706583,0.2976868483033343,0.1082202843144161,0.3209687024901751,0.30863717460863843,0.3137226064188369,0.22443751377799323,0.3277219069621798,0.29541122232990513,0.2944263029659321,0.26813744437532744,0.3214396655156369,0.10910116006464483,0.10910115902487758,0.1673178798450669,0.2398026649132917,0.3565165202553625,0.5261264232139862,0.23250846039947112,-0.02937733851884415,0.15039096586885328,0.27387451251477674,0.4817145641518558,0.1706096617166737,0.14185080629211247,0.18826025582716488,0.20989699466770786,0.24756071610051117,0.24979377225301375,0.09201101835947581,0.15405999301231796
U.S. Aggregate Bonds,0.051,0.05186832202429681,0.04276663773315253,-0.23563136734095647,0.09671889179823064,0.8312293320610231,0.8321591582524653,0.7488318565085478,1.0,0.9312480554692187,0.8220405010545075,0.9347539652516796,0.8500824864577466,0.8499106876403127,0.35212645340330173,0.02559413885926833,0.8610370889262317,0.7855733838519631,0.7728932239709224,0.7177443923767696,0.6275918569921639,0.4478993093989307,0.544571031608622,0.7071730845871772,0.3945366677264866,0.2110300100517687,0.19437248054767853,0.10693659552983437,0.25158620073853927,0.259384276945645,0.25594061896104586,0.16644603264905095,0.25940720244737764,0.16218456425617972,0.2665084233841988,0.2953047987155839,0.24653094049009064,0.15596539775962237,0.22815096450372543,0.22684364391809,0.23961540694832306,0.19496169336353958,0.27945716932060405,-0.08415045812952489,-0.08415045861866274,-0.10116977927492099,0.03886630645249,0.34673658233813204,0.4319963735880609,0.0009737651435998924,-0.08738773229264267,0.03402226459236409,0.002924585921256564,0.4076881932229655,-0.025939472396595296,0.004648380193028224,0.013029058499748109,0.06097635451451186,0.1492483294820189,0.10693936752493473,-0.05216655583983499,-0.1175600414343478
U.S. Securitized,0.053,0.05352857843893677,0.03338538197022816,-0.21930193355077285,0.119509938633165,0.7893578315798053,0.7259734282995123,0.687049593817702,0.9312480554692187,0.9999999999999998,0.7853810586421388,0.7933600687757703,0.7288955079756269,0.7064770810169229,0.3548853779563413,0.026879983547662585,0.7723670581331418,0.7142899805636723,0.6822184730025539,0.6553844791595946,0.5784844808158507,0.4093908141202865,0.4839564484917915,0.6776240763339544,0.3868903174206356,0.20084898433658174,0.18882317562190198,0.11720104860508623,0.2445227730352137,0.2560006465802874,0.24557495761675344,0.16626681369024449,0.24738169017040945,0.1587482422263249,0.2514061887979353,0.2778406355250568,0.23214473417616546,0.16733944656145566,0.20659639899967744,0.211364899596495,0.22361470999672542,0.19339491753617008,0.24796394771319577,-0.022547324318477457,-0.02254732840130772,-0.03563509329411432,0.07281917634838053,0.33851820526486703,0.4666766370972198,0.03165964438457284,-0.043521328263360554,0.0366396446204348,-0.009531301162675468,0.35853279365244045,-0.017739654190768627,0.01832892859384569,-0.03004438471851504,0.05296309162099905,0.13092254145060575,0.10244515285128124,-0.13769422768588746,-0.07113880580547058
U.S. Short Duration Government/Credit,0.039,0.03911943143397334,0.015755946359792522,-0.28632755563549206,0.2614714144736679,0.8330597845320012,0.5785247010059255,0.6146207319404231,0.8220405010545075,0.7853810586421388,1.0000000000000002,0.6468885166650948,0.6439252886137272,0.5799992917312401,0.2605272773922966,-0.06633857829092867,0.7084066599156277,0.7348402093697397,0.6125904946333406,0.675187527643229,0.46523563164971615,0.39236780966550033,0.41925374434046425,0.5484380331552396,0.16959522271055907,0.08680561972542042,0.07039954102452023,0.010768827950460328,0.1928449457974705,0.18465542433704119,0.20280488338955194,0.09254754108563991,0.18532976269198098,0.11387013521138169,0.2053283333893116,0.22771015556851176,0.1492950181222092,0.06538852133870048,0.07998266831524144,0.09959435094759957,0.09854307082785903,0.0848698124626097,0.17265952442301713,-0.19507440486332658,-0.1950744077793332,-0.14658290179157396,-0.0360573135387603,0.14987561767121274,0.27032153707053247,-0.010580442405262045,-0.11088647776967477,0.08597925010156293,0.032756933745076405,0.3822689824726235,-0.035860368113711315,-0.05155553284378194,-0.07283195422552974,0.017363240655473778,0.10048306380782157,0.051248028403976395,0.014846817613323158,-0.17601696745787593
U.S. Long Duration Government/Credit,0.057,0.062412139083739326,0.10764905459971606,-0.20390007140476987,0.03652883619777694,0.7219735684948073,0.8942879059880061,0.6785483668705493,0.9347539652516796,0.7933600687757703,0.6468885166650948,1.0,0.8358511174914959,0.9036888657138008,0.2973231115498451,0.020279920089834293,0.8320125481160503,0.7204554912844366,0.7559116966044666,0.649883231378382,0.5859542162840936,0.4052971448854757,0.4956171349857086,0.624302449117684,0.35388376439746755,0.2054363139655136,0.18900871473838698,0.10141614973796495,0.21781355778462702,0.2536197647163942,0.229231274187413,0.14890754245212584,0.2407197715935207,0.1404880537171811,0.24552467863996472,0.27817928135990005,0.23429942419217778,0.1433390383165928,0.22728025414590938,0.22094820084908431,0.24685332802016124,0.1939218321109446,0.2653498083632277,-0.08744363553172764,-0.08744363247069249,-0.14049994358186563,0.007602906590061113,0.3626044413126398,0.3243365219534726,-0.05411905345895683,-0.0824228081974238,-0.004496162627032289,-0.010135108746268792,0.35455641059756154,-0.0872626668295819,-0.04808699017690657,0.0364325370673081,0.0540666057959345,0.1346871006608491,0.09576064581792636,0.0029165123052151986,-0.15178014808138385
U.S. Inv Grade Corporate Bonds,0.05800000000000001,0.06039517819713058,0.07139281082700823,-0.16857448251937224,0.01922085795006195,0.4900616580813104,0.5640674118259209,0.69988233743471,0.8500824864577466,0.7288955079756269,0.6439252886137272,0.8358511174914959,0.9999999999999998,0.9695104531378576,0.6438839576277833,0.37273913037782064,0.6254710706798138,0.6651683969835662,0.6096233248858709,0.6579694423626532,0.8108392180335438,0.6041393854986151,0.794139915419961,0.677858292315599,0.5310831500197936,0.46133889440555714,0.4660921583845897,0.3610569644447636,0.48457948918762633,0.4967922643054377,0.49044122077927843,0.4413615029219478,0.5204495150927408,0.29421192240604366,0.5221003202303106,0.5402614560047333,0.516590845028044,0.4107556518637276,0.4850218528390198,0.46905431290260924,0.46819028549222086,0.4461654819660485,0.5771491476708963,0.04966788529795691,0.04966788383150744,0.1358787259044234,0.3310624007216439,0.5053492144129241,0.4691614086699583,0.24767411264651315,-0.2531586792866845,0.23118560699368923,0.20642105835035693,0.3784703931112122,0.3585355999501161,0.26658893029926245,0.34051111409403856,0.38403837213643743,0.4505080267532374,0.44287537388277504,0.07017619658852764,0.21108682553170433
